City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Mwingi,KE,69.49,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
399,Esmeraldas,BR,80.6,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
402,Mugla,TR,75.2,broken clouds,37.2303,28.3557,Petek Hotel
404,Mwinilunga,ZM,65.77,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
406,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
407,Prestea,GH,89.58,overcast clouds,5.4327,-2.1428,Channel 5
408,Vao,NC,76.15,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
409,Bangolo,CI,94.24,broken clouds,7.0069,-7.475,Résidence hôtel yekoula
412,Sinnamary,GF,82.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
414,Sao Gabriel,BR,79.0,scattered clouds,-30.3364,-54.32,Hotel Obino
415,Myrtle Beach,US,73.99,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
416,Saint-Joseph,RE,77.0,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
417,Veraval,IN,81.93,clear sky,20.9,70.3667,Lords Inn Somnath
418,Riverside,US,75.99,clear sky,33.7333,-116.0508,
419,Inirida,CO,82.38,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
420,Coahuayana,MX,75.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
421,Lorengau,PG,80.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
426,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
427,Atakpame,TG,93.83,broken clouds,7.5333,1.1333,Hôtel Luxembourg Atakpame
429,Fethiye,TR,75.2,broken clouds,36.6217,29.1164,Club & Hotel Letoonia
431,Waingapu,ID,76.46,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
434,Alofi,NU,68.0,broken clouds,-19.0595,-169.9187,Taloa Heights
435,San Ignacio,BZ,82.4,clear sky,17.1561,-89.0714,Rainforest Haven Inn
436,Huarmey,PE,73.0,scattered clouds,-10.0681,-78.1522,Hotel Miramar
437,Samarai,PG,82.47,overcast clouds,-10.6167,150.6667,Nuli Sapi
438,Kangundo,KE,75.2,light rain,-1.2979,37.3471,New Musemei Hotel
439,Harper,LR,85.23,overcast clouds,4.375,-7.7169,Screensaver
